Date,TS,RH2M,dMdt,M
2022-09-13,18.475287910621574,90.36094002405312,0.0,4.231798010335246
2022-09-14,17.545287910621575,89.17094002405312,0.0,4.231798010335246
2022-09-15,16.385287910621578,81.43094002405311,0.0,4.231798010335246
2022-09-16,14.405287910621578,76.80094002405312,-0.032,4.199798010335246
2022-09-17,13.685287910621577,67.05094002405312,0.0,4.199798010335246
2022-09-18,14.325287910621578,78.36094002405312,-0.0016,4.198198010335246
2022-09-19,15.275287910621577,78.49094002405312,-0.0016,4.196598010335246
2022-09-20,15.405287910621578,74.99094002405312,-0.0016,4.194998010335246
2022-09-21,15.795287910621578,78.05094002405312,-0.0016,4.193398010335247
2022-09-22,16.11528791062158,79.11094002405312,-0.0016,4.191798010335247
2022-09-23,15.795287910621578,94.30094002405312,0.0,4.191798010335247
2022-09-24,14.945287910621579,85.36094002405312,0.0,4.191798010335247
2022-09-25,14.385287910621578,78.67094002405312,-0.032,4.159798010335247
2022-09-26,14.775287910621577,80.43094002405311,0.0,4.159798010335247
2022-09-27,13.215287910621578,82.43094002405311,0.0,4.159798010335247
2022-09-28,12.755287910621577,81.43094002405311,0.0,4.159798010335247
2022-09-29,12.645287910621578,78.30094002405312,-0.032,4.127798010335247
2022-09-30,13.965287910621578,87.05094002405312,0.0,4.127798010335247
2022-10-01,16.135287910621578,84.11094002405312,0.0,4.127798010335247
2022-10-02,14.815287910621578,85.11094002405312,0.0,4.127798010335247
2022-10-03,14.595287910621577,87.86094002405312,0.0,4.127798010335247
2022-10-04,17.085287910621577,89.24094002405312,0.0,4.127798010335247
2022-10-05,16.355287910621577,85.74094002405312,0.0,4.127798010335247
2022-10-06,14.265287910621577,86.36094002405312,0.0,4.127798010335247
2022-10-07,15.355287910621577,89.30094002405312,0.0,4.127798010335247
2022-10-08,12.955287910621578,80.11094002405312,-0.032,4.095798010335247
2022-10-09,13.395287910621578,79.80094002405312,0.0,4.095798010335247
2022-10-10,13.245287910621578,84.30094002405312,0.0,4.095798010335247
2022-10-11,11.995287910621578,80.55094002405312,-0.032,4.063798010335247
2022-10-12,14.435287910621577,82.17094002405312,0.0,4.063798010335247
2022-10-13,14.765287910621577,91.24094002405312,0.0,4.063798010335247
2022-10-14,13.245287910621578,96.93094002405311,0.06656938990570233,4.130367400240949
2022-10-15,14.425287910621577,89.05094002405312,0.0,4.130367400240949
2022-10-16,15.175287910621577,88.99094002405312,0.0,4.130367400240949
2022-10-17,15.145287910621578,94.80094002405312,0.011411849900570203,4.14177925014152
2022-10-18,13.845287910621577,88.74094002405312,0.0,4.14177925014152
2022-10-19,15.525287910621577,92.67094002405312,0.0,4.14177925014152
2022-10-20,15.065287910621578,96.17094002405312,0.0505523548651038,4.192331605006624
2022-10-21,16.355287910621577,90.05094002405312,0.0,4.192331605006624
2022-10-22,15.705287910621578,92.17094002405312,0.0,4.192331605006624
2022-10-23,16.745287910621578,90.43094002405311,0.0,4.192331605006624
2022-10-24,15.385287910621578,91.43094002405311,0.0,4.192331605006624
2022-10-25,15.165287910621577,93.80094002405312,0.0,4.192331605006624
2022-10-26,16.325287910621576,94.80094002405312,0.0,4.192331605006624
